base_date,end_date,horizon_d,metric_type,key,n,value,se,ci_lo,ci_hi,p_value
20260116,20260605,90,rank_ic,base_score,116,0.1646,,-0.0183,0.3368,0.0775
20260116,20260605,90,quantile,top_minus_bottom,116,0.2064,0.1071,-0.0035,0.4163,
20260116,20260605,90,signal_bucket,BUY,16,0.1628,0.1136,,,0.4375
20260116,20260605,90,signal_bucket,HOLD,19,0.0309,0.0887,,,0.3158
20260116,20260605,90,signal_bucket,WATCH,28,0.0584,0.0850,,,0.3214
20260116,20260605,90,signal_bucket,AVOID,53,-0.0183,0.0512,,,0.3208
20260116,20260605,90,long_short,BUY_minus_AVOID,,0.1811,,,,0.1068
20260116,20260421,60,rank_ic,base_score,116,0.1029,,-0.0809,0.2800,0.2715
20260116,20260421,60,quantile,top_minus_bottom,116,0.1176,0.0579,0.0041,0.2310,
20260116,20260421,60,signal_bucket,BUY,16,0.0872,0.0703,,,0.3125
20260116,20260421,60,signal_bucket,HOLD,19,-0.0206,0.0345,,,0.5789
20260116,20260421,60,signal_bucket,WATCH,28,-0.0251,0.0467,,,0.2857
20260116,20260421,60,signal_bucket,AVOID,53,-0.0246,0.0286,,,0.3774
20260116,20260421,60,long_short,BUY_minus_AVOID,,0.1118,,,,0.0838
20260116,20260309,30,rank_ic,base_score,116,-0.0742,,-0.2531,0.1096,0.4289
20260116,20260309,30,quantile,top_minus_bottom,116,0.0212,0.0499,-0.0766,0.1189,
20260116,20260309,30,signal_bucket,BUY,16,0.0320,0.0596,,,0.1875
20260116,20260309,30,signal_bucket,HOLD,19,-0.0771,0.0222,,,0.2105
20260116,20260309,30,signal_bucket,WATCH,28,-0.0438,0.0280,,,0.2500
20260116,20260309,30,signal_bucket,AVOID,53,-0.0261,0.0173,,,0.3396
20260116,20260309,30,long_short,BUY_minus_AVOID,,0.0581,,,,0.2008
20260309,20260605,60,rank_ic,base_score,116,0.0548,,-0.1288,0.2347,0.5594
20260309,20260605,60,quantile,top_minus_bottom,116,0.0786,0.0987,-0.1148,0.2719,
20260309,20260605,60,signal_bucket,BUY,23,0.0362,0.0745,,,0.3913
20260309,20260605,60,signal_bucket,HOLD,27,0.0521,0.0802,,,0.2593
20260309,20260605,60,signal_bucket,WATCH,28,0.1643,0.0553,,,0.7143
20260309,20260605,60,signal_bucket,AVOID,38,0.0273,0.0640,,,0.3158
20260309,20260605,60,long_short,BUY_minus_AVOID,,0.0089,,,,0.9310
20260309,20260421,30,rank_ic,base_score,116,0.1655,,-0.0174,0.3376,0.0759
20260309,20260421,30,quantile,top_minus_bottom,116,0.0620,0.0419,-0.0200,0.1440,
20260309,20260421,30,signal_bucket,BUY,23,0.0476,0.0288,,,0.5652
20260309,20260421,30,signal_bucket,HOLD,27,0.0398,0.0374,,,0.4815
20260309,20260421,30,signal_bucket,WATCH,28,0.0269,0.0226,,,0.4643
20260309,20260421,30,signal_bucket,AVOID,38,-0.0040,0.0288,,,0.3158
20260309,20260421,30,long_short,BUY_minus_AVOID,,0.0516,,,,0.2438
20260421,20260605,30,rank_ic,base_score,116,-0.0606,,-0.2402,0.1231,0.5183
20260421,20260605,30,quantile,top_minus_bottom,116,-0.0755,0.0820,-0.2363,0.0853,
20260421,20260605,30,signal_bucket,BUY,21,0.0158,0.0559,,,0.3333
20260421,20260605,30,signal_bucket,HOLD,17,-0.0038,0.0524,,,0.3529
20260421,20260605,30,signal_bucket,WATCH,28,0.0438,0.0514,,,0.4286
20260421,20260605,30,signal_bucket,AVOID,50,0.0430,0.0379,,,0.4400
20260421,20260605,30,long_short,BUY_minus_AVOID,,-0.0272,,,,0.6893
