provider,source_interface_id,doc_api,label,level1,level2,level3,level4,doc_url,storage_mode,split_by_symbol,access_status,access_reason,completeness_status,check_confidence
tushare,hk_income,hk_income,港股利润表,港股数据,港股利润表,,,https://tushare.pro/document/2?doc_id=389,by_symbol,true,available,points_within_account,未见明显遗漏,medium
tushare,hk_basic,hk_basic,港股基础信息,港股数据,港股基础信息,,,https://tushare.pro/document/2?doc_id=191,all_csv,false,available,points_within_account,未见明显遗漏,medium
tushare,hk_cashflow,hk_cashflow,港股现金流量表,港股数据,港股现金流量表,,,https://tushare.pro/document/2?doc_id=391,by_symbol,true,available,points_within_account,未见明显遗漏,medium
tushare,hk_balancesheet,hk_balancesheet,港股资产负债表,港股数据,港股资产负债表,,,https://tushare.pro/document/2?doc_id=390,by_symbol,true,available,points_within_account,未见明显遗漏,medium
tushare,sge_basic,sge_basic,上海黄金基础信息,现货数据,上海黄金基础信息,,,https://tushare.pro/document/2?doc_id=284,all_csv,false,available,points_within_account,未见明显遗漏,medium
tushare,sge_daily,sge_daily,上海黄金现货日行情,现货数据,上海黄金现货日行情,,,https://tushare.pro/document/2?doc_id=285,all_csv,false,available,points_within_account,未见明显遗漏,medium
tushare,us_tradecal,us_tradecal,美股交易日历,美股数据,美股交易日历,,,https://tushare.pro/document/2?doc_id=253,all_csv,false,available,available_nonempty,未见明显遗漏,medium
tushare,us_income,us_income,美股利润表,美股数据,美股利润表,,,https://tushare.pro/document/2?doc_id=394,by_symbol,true,available,points_within_account,未见明显遗漏,medium
tushare,us_basic,us_basic,美股基础信息,美股数据,美股基础信息,,,https://tushare.pro/document/2?doc_id=252,all_csv,false,available,points_within_account,未见明显遗漏,medium
tushare,us_cashflow,us_cashflow,美股现金流量表,美股数据,美股现金流量表,,,https://tushare.pro/document/2?doc_id=396,by_symbol,true,available,points_within_account,未见明显遗漏,medium
tushare,us_balancesheet,us_balancesheet,美股资产负债表,美股数据,美股资产负债表,,,https://tushare.pro/document/2?doc_id=395,by_symbol,true,available,points_within_account,未见明显遗漏,medium
tushare,margin,margin,融资融券交易汇总,股票数据,两融及转融通,融资融券交易汇总,,https://tushare.pro/document/2?doc_id=58,all_csv,false,available,points_within_account,未见明显遗漏,medium
tushare,margin_detail,margin_detail,融资融券交易明细,股票数据,两融及转融通,融资融券交易明细,,https://tushare.pro/document/2?doc_id=59,by_symbol,true,available,points_within_account,未见明显遗漏,medium
tushare,slb_len,slb_len,转融资交易汇总,股票数据,两融及转融通,转融资交易汇总,,https://tushare.pro/document/2?doc_id=331,all_csv,false,available,points_within_account,未见明显遗漏,medium
tushare,slb_len_mm,slb_len_mm,做市借券交易汇总(停）,股票数据,两融及转融通,做市借券交易汇总(停）,,https://tushare.pro/document/2?doc_id=334,all_csv,false,available,points_within_account,未见明显遗漏,medium
tushare,block_trade,block_trade,大宗交易,股票数据,参考数据,大宗交易,,https://tushare.pro/document/2?doc_id=161,by_symbol,true,available,points_within_account,未见明显遗漏,medium
tushare,pledge_detail,pledge_detail,股权质押明细数据,股票数据,参考数据,股权质押明细数据,,https://tushare.pro/document/2?doc_id=111,by_symbol,true,available,points_within_account,未见明显遗漏,medium
tushare,pledge_stat,pledge_stat,股权质押统计数据,股票数据,参考数据,股权质押统计数据,,https://tushare.pro/document/2?doc_id=110,by_symbol,true,available,points_within_account,未见明显遗漏,medium
tushare,repurchase,repurchase,股票回购,股票数据,参考数据,股票回购,,https://tushare.pro/document/2?doc_id=124,by_symbol,true,available,points_within_account,未见明显遗漏,medium
tushare,share_float,share_float,限售股解禁,股票数据,参考数据,限售股解禁,,https://tushare.pro/document/2?doc_id=160,by_symbol,true,available,points_within_account,未见明显遗漏,medium
tushare,stk_holdernumber,stk_holdernumber,股东人数,股票数据,参考数据,股东人数,,https://tushare.pro/document/2?doc_id=166,by_symbol,true,available,points_within_account,未见明显遗漏,medium
tushare,stk_holdertrade,stk_holdertrade,股东增减持,股票数据,参考数据,股东增减持,,https://tushare.pro/document/2?doc_id=175,by_symbol,true,available,points_within_account,未见明显遗漏,medium
tushare,top10_holders,top10_holders,前十大股东,股票数据,参考数据,前十大股东,,https://tushare.pro/document/2?doc_id=61,by_symbol,true,available,points_within_account,未见明显遗漏,medium
tushare,top10_floatholders,top10_floatholders,前十大流通股东,股票数据,参考数据,前十大流通股东,,https://tushare.pro/document/2?doc_id=62,by_symbol,true,available,points_within_account,未见明显遗漏,medium
tushare,bak_basic,bak_basic,股票历史列表,股票数据,基础数据,股票历史列表,,https://tushare.pro/document/2?doc_id=262,all_csv,false,available,available_nonempty,未见明显遗漏,medium
tushare,bse_mapping,bse_mapping,北交所新旧代码对照,股票数据,基础数据,北交所新旧代码对照,,https://tushare.pro/document/2?doc_id=375,all_csv,false,available,points_within_account,未见明显遗漏,medium
tushare,namechange,namechange,股票曾用名,股票数据,基础数据,股票曾用名,,https://tushare.pro/document/2?doc_id=100,all_csv,false,available,available_nonempty,未见明显遗漏,medium
tushare,new_share,new_share,IPO新股上市,股票数据,基础数据,IPO新股上市,,https://tushare.pro/document/2?doc_id=123,all_csv,false,available,points_within_account,未见明显遗漏,medium
tushare,st,st,ST风险警示板股票,股票数据,基础数据,ST风险警示板股票,,https://tushare.pro/document/2?doc_id=423,all_csv,false,available,points_within_account,未见明显遗漏,medium
tushare,stk_managers,stk_managers,上市公司管理层,股票数据,基础数据,上市公司管理层,,https://tushare.pro/document/2?doc_id=193,all_csv,false,available,points_within_account,未见明显遗漏,medium
tushare,stock_basic,stock_basic,股票列表,股票数据,基础数据,股票列表,,https://tushare.pro/document/2?doc_id=25,all_csv,false,available,points_within_account,未见明显遗漏,medium
tushare,stock_company,stock_company,上市公司基本信息,股票数据,基础数据,上市公司基本信息,,https://tushare.pro/document/2?doc_id=112,all_csv,false,available,points_within_account,未见明显遗漏,medium
tushare,stock_hsgt,stock_hsgt,沪深港通股票列表,股票数据,基础数据,沪深港通股票列表,,https://tushare.pro/document/2?doc_id=398,all_csv,false,available,points_within_account,未见明显遗漏,medium
tushare,stock_st,stock_st,ST股票列表,股票数据,基础数据,ST股票列表,,https://tushare.pro/document/2?doc_id=397,all_csv,false,available,points_within_account,未见明显遗漏,medium
tushare,trade_cal_stock,trade_cal,交易日历,股票数据,基础数据,交易日历,,https://tushare.pro/document/2?doc_id=26,all_csv,false,available,points_within_account,未见明显遗漏,medium
tushare,dc_daily,dc_daily,东财概念和行业指数行情,股票数据,打板专题数据,东财概念和行业指数行情,,https://tushare.pro/document/2?doc_id=382,all_csv,false,available,points_within_account,未见明显遗漏,medium
tushare,dc_hot,dc_hot,东方财富App热榜,股票数据,打板专题数据,东方财富App热榜,,https://tushare.pro/document/2?doc_id=321,all_csv,false,available,points_within_account,未见明显遗漏,medium
tushare,hm_detail,hm_detail,游资交易每日明细,股票数据,打板专题数据,游资交易每日明细,,https://tushare.pro/document/2?doc_id=312,all_csv,false,available,points_within_account,未见明显遗漏,medium
tushare,hm_list,hm_list,市场游资最全名录,股票数据,打板专题数据,市场游资最全名录,,https://tushare.pro/document/2?doc_id=311,all_csv,false,available,points_within_account,未见明显遗漏,medium
tushare,kpl_concept,kpl_concept,题材数据（开盘啦）,股票数据,打板专题数据,题材数据（开盘啦）,,https://tushare.pro/document/2?doc_id=350,all_csv,false,available,available_nonempty,未见明显遗漏,medium
tushare,kpl_list,kpl_list,榜单数据（开盘啦）,股票数据,打板专题数据,榜单数据（开盘啦）,,https://tushare.pro/document/2?doc_id=347,all_csv,false,available,points_within_account,未见明显遗漏,medium
tushare,limit_cpt_list,limit_cpt_list,涨停最强板块统计,股票数据,打板专题数据,涨停最强板块统计,,https://tushare.pro/document/2?doc_id=357,all_csv,false,available,points_within_account,未见明显遗漏,medium
tushare,limit_list_d,limit_list_d,涨跌停和炸板数据,股票数据,打板专题数据,涨跌停和炸板数据,,https://tushare.pro/document/2?doc_id=298,all_csv,false,available,points_within_account,未见明显遗漏,medium
tushare,limit_list_ths,limit_list_ths,同花顺涨跌停榜单,股票数据,打板专题数据,同花顺涨跌停榜单,,https://tushare.pro/document/2?doc_id=355,all_csv,false,available,points_within_account,未见明显遗漏,medium
tushare,limit_step,limit_step,涨停股票连板天梯,股票数据,打板专题数据,涨停股票连板天梯,,https://tushare.pro/document/2?doc_id=356,all_csv,false,available,points_within_account,未见明显遗漏,medium
tushare,tdx_daily,tdx_daily,通达信板块行情,股票数据,打板专题数据,通达信板块行情,,https://tushare.pro/document/2?doc_id=378,all_csv,false,available,points_within_account,未见明显遗漏,medium
tushare,tdx_index,tdx_index,通达信板块信息,股票数据,打板专题数据,通达信板块信息,,https://tushare.pro/document/2?doc_id=376,all_csv,false,available,points_within_account,未见明显遗漏,medium
tushare,tdx_member,tdx_member,通达信板块成分,股票数据,打板专题数据,通达信板块成分,,https://tushare.pro/document/2?doc_id=377,all_csv,false,available,points_within_account,未见明显遗漏,medium
tushare,ths_daily,ths_daily,同花顺概念和行业指数行情,股票数据,打板专题数据,同花顺概念和行业指数行情,,https://tushare.pro/document/2?doc_id=260,all_csv,false,available,available_nonempty,未见明显遗漏,medium
tushare,ths_hot,ths_hot,同花顺App热榜数,股票数据,打板专题数据,同花顺App热榜数,,https://tushare.pro/document/2?doc_id=320,all_csv,false,available,points_within_account,未见明显遗漏,medium
tushare,ths_index,ths_index,同花顺行业概念板块,股票数据,打板专题数据,同花顺行业概念板块,,https://tushare.pro/document/2?doc_id=259,all_csv,false,available,points_within_account,未见明显遗漏,medium
tushare,ths_member,ths_member,同花顺行业概念成分,股票数据,打板专题数据,同花顺行业概念成分,,https://tushare.pro/document/2?doc_id=261,all_csv,false,available,confirmed_by_raw_fetch,未见明显遗漏,medium
